Limit,Integer Runtime,Integer Utility,Greedy Runtime,Greedy Utility
1,0.026647286,0,0.001823361,0
2,0.002948117,0,3.52E-04,0
3,0.002213173,0,3.88E-04,0
4,0.014603896,3.9565,5.00E-04,3.9565
5,0.00989496,3.5183916,7.87E-04,3.5183916
6,0.009735213,2.8076153,4.78E-04,2.8076155
7,0.010132113,7.5658903,4.04E-04,7.5658903
8,0.013775169,6.394314,3.66E-04,3.0475278
9,0.015758121,6.260343,3.51E-04,2.6249578
10,0.014826121,15.111437,0.001258518,15.111437
11,0.012399971,14.501019,4.33E-04,10.481921
12,0.017592847,14.468576,5.25E-04,14.468576
13,0.05929245,19.31837,5.17E-04,19.184181
14,0.019936051,13.584718,3.86E-04,8.676986
15,0.041206565,22.915379,5.94E-04,22.915379
16,0.03129194,22.64463,5.19E-04,22.64463
17,0.05273092,21.84134,4.74E-04,21.623251
18,0.028933834,26.744009,4.52E-04,22.125381
19,0.024402732,31.008602,4.82E-04,27.236689
20,0.02566086,30.168823,5.99E-04,25.602617
21,0.021522231,29.82399,4.94E-04,29.648748
22,0.029352872,35.088387,5.04E-04,35.088387
23,0.03115806,34.06926,6.68E-04,29.722466
24,0.04088312,28.820263,6.68E-04,28.720783
25,0.08912331,43.29238,6.90E-04,43.29238
26,0.034330703,38.217598,7.11E-04,38.217594
27,0.04684403,37.344948,6.91E-04,37.344948
28,0.036359843,41.022724,5.83E-04,37.193832
29,0.028537376,50.806107,6.47E-04,50.806103
30,0.027088536,50.345142,6.94E-04,41.62023
31,0.10997503,40.383698,5.98E-04,40.118046
32,0.36249372,44.952927,6.33E-04,44.548077
33,2.781453,49.742554,6.07E-04,49.082436
34,0.64992875,59.140247,8.39E-04,59.14025
35,0.034527127,52.76007,7.04E-04,43.154705
36,0.03851697,52.085922,7.34E-04,52.085922
37,1.9277018,47.651604,6.03E-04,42.664047
38,0.6371961,71.8243,0.001196652,66.56835
39,0.12298638,56.57782,7.73E-04,51.85106
40,0.092413805,60.536583,8.62E-04,56.340897
41,0.035827316,69.72881,0.0011776,60.54888
42,0.17785095,90.12673,0.00165272,79.912
43,19.995094,54.975227,0.001197388,48.979263
44,5.143151,68.962944,0.001160878,68.96294
45,6.1677694,78.6993,0.001130054,67.99367
46,0.09384506,82.58646,0.00161749,82.586464
47,5.151447,87.746605,0.001657928,87.746605
48,0.07903346,86.35724,0.001772491,71.87729
49,32.42175,86.71658,0.001671411,76.5482
50,6.4436655,96.268814,0.001872284,95.743454
51,99.46261,80.50932,0.002165364,75.48485
52,0.16819203,89.777176,0.002151184,79.641464
53,0.72061104,84.09901,0.002514793,78.95621
54,77.03712,89.21289,0.00229799,88.73366
55,53.7263,98.59375,0.002554509,98.59375
56,0.16221675,87.05742,0.00204274,63.2461
57,6.949512,87.14038,0.002648238,82.46588
58,0.07386155,86.253044,0.002352687,76.96633
59,0.25014094,106.12235,0.003133705,105.67392
60,0.8060647,110.61926,0.002646713,110.5214
61,0.13153066,94.94075,0.002244056,80.966194
62,9.532846,95.473816,0.002670301,89.98834
63,0.06303457,123.50906,0.003715977,123.50907
64,20.600073,108.92038,0.004118954,99.01011
65,6.4140034,108.38454,0.002241037,72.88243
66,0.10155922,112.421646,0.003268337,87.41286
67,0.10809118,116.57922,0.003609217,106.89609
68,0.97310174,116.6418,0.003734641,107.55142
69,0.08787527,120.66989,0.003881902,106.78676
70,0.07525632,125.0148,0.003899236,125.0148
71,0.13635373,124.63147,0.004215097,116.026855
72,67.06095,140.04163,0.005691321,139.3286
73,0.19158916,118.99301,0.004119573,118.99301
74,0.7096292,123.570045,0.003789057,88.37957
75,72.28692,143.40762,0.005237392,143.40762
76,0.266171,137.13564,0.030695044,127.31416
77,0.2615385,131.51288,0.01302468,131.51288
78,3.8465934,146.46228,0.006355514,137.13914
79,0.06554268,135.69019,0.005314764,121.55879
80,0.15352249,145.04004,0.006158548,126.54442
81,28.974403,140.52435,0.006495926,139.83904
82,0.068695575,144.083,0.007239589,139.25684
83,166.95068,129.32298,0.006402625,119.24693
84,1181.2672,133.85687,0.006461366,124.523605
85,1051.1876,143.67384,0.007107831,132.51318
86,0.11173169,162.11494,0.008707729,148.06505
87,0.07599456,156.52728,0.011854095,156.52728
88,2529.5137,137.49391,0.007288339,131.81145
89,16158.102,146.91325,0.009872812,146.91325
90,0.27241462,170.33572,0.012147563,170.33572
91,3.3626392,165.17657,0.011895591,164.68604
92,1.465928,149.40703,0.009353795,129.97539
93,2028.1299,154.69583,0.011081644,149.12297
94,288.10834,183.97131,0.012627482,173.0426
95,0.13692954,157.72276,0.014922909,157.72275
96,337.4897,172.90703,0.011541904,167.74815
97,53.420563,182.12274,0.0110679,182.12273
98,808.6169,176.97452,0.011573952,166.20259
99,0.07448615,185.54062,0.012497513,171.75345
